question_id,variant,price,price_limit,manager_data,manager_commit,acceptable_folders,cwd,set,title,description,proposals
16912_4,ic_swe,1000.0,2000000.0,,,['16912_4'],/app/expensify,diamond,[HOLD for payment 2023-04-20] [$1000]  Inconsistency hint text for zipcode on home address page vs the connect bank account page,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n## Action Performed:\n\n1. Go to staging dot on web chrome\n2. Go to settings\n3. Go to Personal Information and search for any location\n4. Notice that below the zipcode field, it displays the text as 'Format'\n5. Now go to any workspace. Go to connect bank account page\n6. Fill in the details and in the step 2 , notice that below the zipcode field, it mentions as 'e.g'. Thus, for the same field in two different areas on the application, different texts are displayed.\n\n## Expected Result: \nTo maintain consistency between the same zipcode field in home address vs the connect bank account page, it should either display 'format' or it should display 'e.g' in both pages.\n## Actual Result: \nIn the home address page, the text has been displayed as format, whereas in the connect bank account page, the text has been displayed as 'e.g' for the same zipcode field.\n\n## Workaround:\nunknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [ ] Android / native\n- [ ] Android / Chrome\n- [ ] iOS / native\n- [ ] iOS / Safari\n- [x] MacOS / Chrome / Safari\n- [ ] MacOS / Desktop\n\n**Version Number:** 1.2.94-0\n**Reproducible in staging?:** y\n**Reproducible in production?:** y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Notes/Photos/Videos:** Any additional supporting documentation\n\nhttps://user-images.githubusercontent.com/43996225/229839886-3909c2cf-f11e-41c5-87a9-955ee9efad36.mp4\n\n\nhttps://user-images.githubusercontent.com/43996225/229839920-cccccd0c-363a-4e65-8d70-dd533e14e1f0.mp4\n\n\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @priya-zha\n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1680583640960019\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~018fb5c289df121167</li>\n        <li>Upwork Job ID: 1643295291269828608</li>\n        <li>Last Price Increase: 2023-04-04</li>\n    </ul>\n</details>",
17387_1,ic_swe,4000.0,2000000.0,,,['17387_1'],/app/expensify,diamond,[HOLD for payment 2023-09-07] [$4000] Inconsistent front-end email validation across the product,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n## Action Performed:\n(Chat) \n1. Create a new chat\n2. Enter an invalid email (e.g. jaj@asjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfisjksksjsjssskssjskskssksksksksskdkddkddkdksskskdkdkdksskskskdkdkdkdkekeekdkddenejeodxkdndekkdjddkeemdjxkdenendkdjddekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdi.cdjd\n3. Start the chat\n\n(Login/SignUp)\n1. Try to login with an invalid email like jaj@asjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfisjksksjsjssskssjskskssksksksksskdkddkddkdksskskdkdkdksskskskdkdkdkdkekeekdkddenejeodxkdndekkdjddkeemdjxkdenendkdjddekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdi.cdjd\n\n(Add Contact Method) \n1. Navigate to Settings > Profile > Contact Method > New Contact Method \n4. Try to add an invalid email like jaj@asjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfisjksksjsjssskssjskskssksksksksskdkddkddkdksskskdkdkdksskskskdkdkdkdkekeekdkddenejeodxkdndekkdjddkeemdjxkdenendkdjddekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdicdjejajasjjssjdjdjdjdjdjjeiwiwiwowkdjdjdieikdjfidekjcjdkekejdcjdkeekcjcdidjjcdkekdiccjdkejdjcjxisdjjdkedncicdjejejcckdsijcjdsodjcicdkejdi.cdjd\n\n## Expected result: \nFront-end validation should prevent these emails from being added and creating unnecessary network requests. Additionally, consistent validation should be used in all areas where we validate emails in the product (e.g. pasting an invalid email into an existing chat still formats it like a valid email)\n\nBackend email validation uses [PHP's email validation filter](https://www.php.net/manual/en/filter.filters.validate.php) FILTER_VALIDATE_EMAIL as well as the following regex (for emails and phone numbers) [\w\.'#%+-]+@[a-zA-Z\d\.-]+\.[a-zA-Z]{2,}|^\+?[1-9]\d{1,14}$)\n\n## Actual results: \nEmails are successfully submitted, only to be subsequently rejected by the backend\n\n## Workaround:\nN/A\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [x] Android / native\n- [x] Android / Chrome\n- [x] iOS / native\n- [x] iOS / Safari\n- [x] MacOS / Chrome / Safari\n- [x] MacOS / Desktop\n\n**Version Number:** v1.3.0-0\n**Reproducible in staging?:** y\n**Reproducible in production?:** y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Notes/Photos/Videos:** Any additional supporting documentation\n\nhttps://user-images.githubusercontent.com/43996225/231782900-50ff85fb-d63d-481a-b754-6265979f3f68.mp4\n\n<img width=""960"" alt=""Untitled"" src=""https://user-images.githubusercontent.com/43996225/231782943-79319911-6a0d-4bc2-83e6-f2713cae2030.png"">\n\n\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @chiragxarora\n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1681358100970919\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~01878e05ad15a14027</li>\n        <li>Upwork Job ID: 1648410114624286720</li>\n        <li>Last Price Increase: 2023-08-10</li>\n<li>Automatic offers: </li>\n<ul>\n<li>aimane-chnaif | Reviewer | 26133961</li>\n<li>jjcoffee | Contributor | 26133964</li>\n</ul></li>\n    </ul>\n</details>",
28030_832,ic_swe,500.0,2000000.0,,,['28030_832'],/app/expensify,diamond,[HOLD for payment 2023-10-18] [$500]  I cursor not displayed on profile error,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n## Action Performed:\n1. Open the app\n2. Open settings->profile->upload invalid format image or more then 6mb image\n3. App will display error below profile pic\n4. Hover and try to select the error, observe that app displays normal cursor and does not allow to select the error\n5. Similarly try on error in new contact method i.e. add a new contact method and insert wrong code\n6. Hover and observe that it displays I cursor which is correct and allows to select the error (all other errors throughout app displays I cursor and allows to select the text)\n## Expected Result: \nApp should display I cursor over errors and allow to select and copy the text\n## Actual Result: \nProfile pic error displays normal cursor and does not allow to select and copy the text\n\n## Workaround:\nCan the user still use Expensify without this being fixed? Have you informed them of the workaround?\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [ ] Android / native\n- [ ] Android / Chrome\n- [ ] iOS / native\n- [ ] iOS / Safari\n- [x] MacOS / Chrome / Safari\n- [ ] MacOS / Desktop\n\n**Version Number:** 1.3.76-3\n**Reproducible in staging?:** y\n**Reproducible in production?:** y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Notes/Photos/Videos:** Any additional supporting documentation\n\nhttps://github.com/Expensify/App/assets/43996225/3ea900ca-ae56-400e-9b68-05246b8cbfb5\n\n\nhttps://github.com/Expensify/App/assets/43996225/8d5fe6c8-4512-43c6-9437-e602d1196c43\n\n\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @Dhanashree-Sawant\n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1695035097969079\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~01e242f576582d3c21</li>\n        <li>Upwork Job ID: 1705250624405737472</li>\n        <li>Last Price Increase: 2023-09-22</li>\n<li>Automatic offers: </li>\n<ul>\n<li>dukenv0307 | Contributor | 26936356</li>\n<li>Dhanashree-Sawant | Reporter | 26936357</li>\n</ul></li>\n    </ul>\n</details>",
29854_602,ic_swe,500.0,2000000.0,,,['29854_602'],/app/expensify,diamond,[HOLD for payment 2023-11-09] [$500] Manual request - Amount is not shown in the confirmation page after adding a receipt,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n**Issue found when executing PR:** https://github.com/Expensify/App/pull/29474\n\n**Version Number:** v1.3.86-1\n\n**Reproducible in staging?:** Y\n\n**Reproducible in production?:** Y\n\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n\n**Email or phone of affected tester (no customers):**\n\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n\n**Expensify/Expensify Issue URL:**\n\n**Issue reported by:** Applause-Internal Team\n\n**Slack conversation:** @\n\n## Action Performed:\n1. Go to staging.new.expensify.com\n2. Go to chat > + > Request money > Manual.\n3. Enter amount and proceed to confirmation page.\n4. Click 3-dot menu > Add receipt.\n5. Select a receipt.\n\n## Expected Result:\nThe amount field and amount entered should be visible in the confirmation page.\n\n## Actual Result:\nThere is no any data about amount requested in the confirmation page.\n\n## Workaround:\nUnknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [x] Android: Native\n- [x] Android: mWeb Chrome\n- [x] iOS: Native\n- [x] iOS: mWeb Safari\n- [x] MacOS: Chrome / Safari\n- [x] MacOS: Desktop\n\n## Screenshots/Videos\n<details>\n<summary>Android: Native</summary>\n\n<!-- add screenshots or videos here -->\n\n</details>\n\n<details>\n<summary>Android: mWeb Chrome</summary>\n\n<!-- add screenshots or videos here -->\n\n</details>\n\n<details>\n<summary>iOS: Native</summary>\n\n<!-- add screenshots or videos here -->\n\n</details>\n\n<details>\n<summary>iOS: mWeb Safari</summary>\n\n<!-- add screenshots or videos here -->\n\n</details>\n\n<details>\n<summary>MacOS: Chrome / Safari</summary>\n\nhttps://github.com/Expensify/App/assets/115492554/378c28ae-3914-44b5-b3b8-341c4e856db1\n\n</details>\n\n<details>\n<summary>MacOS: Desktop</summary>\n\n<!-- add screenshots or videos here -->\n\n</details>\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~01e9f9de38a831eccf</li>\n        <li>Upwork Job ID: 1714604111977570304</li>\n        <li>Last Price Increase: 2023-10-18</li>\n    </ul>\n</details>",
32236_652,ic_swe,500.0,2000000.0,,,['32236_652'],/app/expensify,diamond,[HOLD for payment 2024-01-17] [$500] Thread - You can create a thread for a deleted message in offline mode,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n**Version Number:** 1.4.5-3\n**Reproducible in staging?:** Y\n**Reproducible in production?:** Y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** Applause - Internal Team\n**Slack conversation:**\n\n## Action Performed:\n1. Open New Expensify app\n2. Navigate to any conversation\n3. Send a message to the conversation\n4. Disable the internet connection\n5. Click on the Trash icon to delete the message\n6. Click on the Thread icon on the deleted message\n7. In the deleted message thread, send several messages\n8. Turn on the Internet and return to the conversation\n\n## Expected Result:\nThe function of creating a Thread should be disabled for messages deleted offline\n\n## Actual Result:\nYou can create a thread for a deleted message in offline mode\n\n## Workaround:\nUnknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [x] Android: Native\n- [x] Android: mWeb Chrome\n- [x] iOS: Native\n- [x] iOS: mWeb Safari\n- [x] MacOS: Chrome / Safari\n- [x] MacOS: Desktop\n\n## Screenshots/Videos\n\nAdd any screenshot/video evidence\n\n</details> \n\nhttps://github.com/Expensify/App/assets/78819774/95a6e5ef-fd62-4254-b308-dd035c04b561\n\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~010998768658278f28</li>\n        <li>Upwork Job ID: 1729992047400849408</li>\n        <li>Last Price Increase: 2023-12-13</li>\n<li>Automatic offers: </li>\n<ul>\n<li>dukenv0307 | Contributor | 28057913</li>\n</ul></li>\n    </ul>\n</details>\n\n<details><summary>Issue Owner</summary>Current Issue Owner: @eVoloshchak</details>",
39848_1045,ic_swe,250.0,2000000.0,,,['39848_1045'],/app/expensify,diamond,[HOLD for payment 2024-06-11] [$250] Tapping outside quickly after clear status leads the user going back to the report screen,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n**Version Number:** 1.4.61-0\n**Reproducible in staging?:** y\n**Reproducible in production?:** y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @dukenv0307 \n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1712306439703269\n\n## Action Performed:\n1. Go to Settings > Profile > Status\n2. Change the status and save\n3. Tapping status again\n4. Click on clear status\n5. Tapping outside quickly and notice\n\n## Expected Result: \nThe user should keep the side on the profile page\n## Actual Result:\n The user goes back to report screen\n\n## Workaround:\nunknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [ ] Android: Native\n- [ ] Android: mWeb Chrome\n- [ ] iOS: Native\n- [ ] iOS: mWeb Safari\n- [x] MacOS: Chrome / Safari\n- [ ] MacOS: Desktop\n\n## Screenshots/Videos\n\nAdd any screenshot/video evidence\n\nhttps://github.com/Expensify/App/assets/38435837/092ed5d7-c2ea-471a-a78c-e2809cb3de42\n\n\nhttps://github.com/Expensify/App/assets/38435837/68e393d4-e99c-47d1-97db-7d3c5df2da5f\n\n\n</details>\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~014d6d259b4d3f1b08</li>\n        <li>Upwork Job ID: 1777489376165974016</li>\n        <li>Last Price Increase: 2024-04-09</li>\n<li>Automatic offers: </li>\n<ul>\n<li>GandalfGwaihir | Contributor | 0</li>\n<li>nkdengineer | Contributor | 0</li>\n</ul></li>\n    </ul>\n</details>\n\n<details><summary>Issue Owner</summary>Current Issue Owner: @jliexpensify</details>",
18641_837,ic_swe,1000.0,2000000.0,,,['18641_837'],/app/expensify,diamond,[HOLD for payment 2023-06-01] [$1000] Show up to 4 participant avatars in the IOUPreview for a bill split,"### Problem\n\nWe introduced the IOUPreview for bill splits https://github.com/Expensify/Expensify/issues/270707. But we are only showing one avatar in the IOUPreview when a bill split is created. Instead, we should show up to 4, or 3 if more than 4 participants are included in the split. \n\n**Current**\n<img width=""787"" alt=""Screenshot 2023-05-09 at 15 35 57"" src=""https://github.com/Expensify/App/assets/10736861/5209bf2f-ba89-4841-be7a-a8be13ceb17b"">\n\n**Desired**\n<img width=""401"" alt=""Screenshot 2023-05-09 at 15 34 53"" src=""https://github.com/Expensify/App/assets/10736861/efa2ca96-f680-44bb-8cca-2cd10f08c302"">\n\n\nIn addition, we should make sure the same order is used when the split is created while offline. (So when returning online, the order shouldn't change)\n\n### Solution\n\nYes please.\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~01a91334bf09c52786</li>\n        <li>Upwork Job ID: 1658476194782515200</li>\n        <li>Last Price Increase: 2023-05-16</li>\n    </ul>\n</details>",
14294,ic_swe,4000.0,2000000.0,,,['14294'],/app/expensify,diamond,[$4000] Copy/ Pasting from google docs appears as bold and bold text appears with * at both end of the message,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n## Action Performed:\n\n1. Login with any account\n2. Go to any chat\n3. Copy normal style texts from google docs\n4. Paste it on the chat window\n5. Copy Bold style text from google docs\n6. Paste it on the chat window\n\nNotice that the pasted message automatically bolds itself. Also, sometimes * appears at the end sides of messages (front and end)\n## Expected Result:\nCopying texts from google docs and pasting it on the chat window should not be bold or * should not appear\n\n## Actual Result:\nCopying texts from google docs disrupts the font style by making the text bold and  * appears at the end sides for bold text\n\n## Workaround:\nunknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n\n- [ ] Android / Chrome\n- [ ] iOS / Safari\n- [ ] MacOS / Chrome / Safari\n- [ ] MacOS / Desktop\n\n**Version Number:** 1.2.54-2\n**Reproducible in staging?:** y\n**Reproducible in production?:** y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Notes/Photos/Videos:** \n\nhttps://user-images.githubusercontent.com/43996225/212385364-15909ac1-25fa-442a-bd06-30796428853c.mov\n\nhttps://user-images.githubusercontent.com/43996225/212385401-f6aca747-a459-4bb6-bfaa-6e60e3e3d59e.mp4\n\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @ashimsharma10\n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1673607769191409\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~01c031b83111575573</li>\n        <li>Upwork Job ID: 1614923230009700352</li>\n        <li>Last Price Increase: 2023-01-30</li>\n    </ul>\n</details>",
49523_849,ic_swe,250.0,2000000.0,,,"['49523_1031', '49523_514', '49523_546', '49523_849']",/app/expensify,diamond,[HOLD for payment 2024-10-14] [$250] Web - Pay - Not here page opens when Gmail user Pay with Expensify,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n**Version Number:** 9.0.38-0\n**Reproducible in staging?:** Y\n**Reproducible in production?:** Y\n**Email or phone of affected tester (no customers):** gocemate+a2207@gmail.com\n**Issue reported by:** Applause Internal Team\n\n\n## Action Performed:\n1. Open 1:1 chat with other user\n2. Go to Pay\n3. Select USD -$ currency>Enter amount> Next> Pay with Expensify\n\n## Expected Result:\nAdd bank account page should open\n\n## Actual Result:\nNot here page opens when Gmail user Pay with Expensify\n\n## Workaround:\nUnknown\n\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\n- [ ] Android: Native\n- [ ] Android: mWeb Chrome\n- [ ] iOS: Native\n- [ ] iOS: mWeb Safari\n- [x] MacOS: Chrome / Safari\n- [ ] MacOS: Desktop\n\n## Screenshots/Videos\n\nhttps://github.com/user-attachments/assets/b9c18590-c3bb-44f9-b8c3-e875c378dbb8\n\n</details>\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~021837168425885571920</li>\n        <li>Upwork Job ID: 1837168425885571920</li>\n        <li>Last Price Increase: 2024-09-20</li>\n<li>Automatic offers: </li>\n<ul>\n<li>ikevin127 | Reviewer | 104140946</li>\n<li>cretadn22 | Contributor | 104140948</li>\n</ul></li>\n    </ul>\n</details>\n\n<details><summary>Issue Owner</summary>Current Issue Owner: @isabelastisser</details>",
49298_510,ic_swe,250.0,2000000.0,,,"['49298_488', '49298_495', '49298_510', '49298_824']",/app/expensify,diamond,[HOLD for payment 2024-10-14] [$250] The intro text on private notes list stays fixed when it should scroll with the page,"If you haven’t already, check out our [contributing guidelines](https://github.com/Expensify/ReactNativeChat/blob/main/contributingGuides/CONTRIBUTING.md) for onboarding and email contributors@expensify.com to request to join our Slack channel!\n___\n\n**Version Number:** 9.0.36-1\n**Reproducible in staging?:** Y\n**Reproducible in production?:** Y\n**If this was caught during regression testing, add the test name, ID and link from TestRail:**\n**Email or phone of affected tester (no customers):**\n**Logs:** https://stackoverflow.com/c/expensify/questions/4856\n**Expensify/Expensify Issue URL:**\n**Issue reported by:** @dukenv0307 \n**Slack conversation:** https://expensify.slack.com/archives/C049HHMV9SM/p1726513353005399\n\n## Action Performed:\n1. Open 1:1 chat\n2. Click on the header\n3. Add private notes with many lines\n4. In private notes list page, scroll the page\n## Expected Result:\nThe intro text should be attached to the content of the page and scroll like we did with many pages\n## Actual Result:\nThe intro text is fixed when you scroll the page\n## Workaround:\nUnknown\n## Platforms:\n<!---\nCheck off any platforms that are affected by this issue\n--->\nWhich of our officially supported platforms is this issue occurring on?\n- [ ] Android: Native\n- [ ] Android: mWeb Chrome\n- [ ] iOS: Native\n- [ ] iOS: mWeb Safari\n- [x] MacOS: Chrome / Safari\n- [ ] MacOS: Desktop\n\n## Screenshots/Videos\n\n\nhttps://github.com/user-attachments/assets/d8e88e27-cf62-4883-bda0-3570f48a9494\n\n\nhttps://github.com/user-attachments/assets/ccb4a18b-04b6-45f6-8474-ea26a588504c\n\n\n\n\n\n\n\nAdd any screenshot/video evidence\n\n</details>\n\n[View all open jobs on GitHub](https://github.com/Expensify/App/issues?q=is%3Aopen+is%3Aissue+label%3A%22Help+Wanted%22)\n\n<details><summary>Upwork Automation - Do Not Edit</summary>\n    <ul>\n        <li>Upwork Job URL: https://www.upwork.com/jobs/~021835811668345209683</li>\n        <li>Upwork Job ID: 1835811668345209683</li>\n        <li>Last Price Increase: 2024-09-30</li>\n<li>Automatic offers: </li>\n<ul>\n<li>brunovjk | Reviewer | 104226815</li>\n<li>nkdengineer | Contributor | 104226816</li>\n</ul></li>\n    </ul>\n</details>\n\n<details><summary>Issue Owner</summary>Current Issue Owner: @lschurr</details>",
